#ID	Name	SMILES
3odcoa	3-Oxodecanoyl-CoA	CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
2shchc	2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	O=C(O)CCC(=O)C1=CC=CC(O)C1C(=O)O
3oddcoa	3-Oxododecanoyl-CoA	CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
1tdecg3p	1-tetradecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]
3oddecACP	3-Oxododecanoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCCCCCCC
3ohcoa	3-Oxohexanoyl-CoA	CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3ohdcoa	3-Oxohexadecanoyl-CoA	CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3ohexACP	3-Oxohexanoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC
23camp	2',3'-Cyclic AMP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2OP(=O)([O-])O[C@H]21
2tpr3dpcoa	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O[C@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)[C@@H]1O)[C@@H](O)C(=O)NCCC(=O)NCCS
34dhpac	3,4-Dihydroxyphenylacetaldehyde	O=CCc1ccc(O)c(O)c1
3oocoa	3-Oxooctanoyl-CoA	CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
23ccmp	2',3'-Cyclic CMP	Nc1ccn([C@@H]2O[C@H](CO)[C@H]3OP(=O)([O-])O[C@H]32)c(=O)n1
3ooctACP	3-Oxooctanoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCCC
3ooctdACP	3-Oxooctadecanoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCCCCCCCCCCCCC
23cgmp	2',3'-Cyclic GMP	Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@H]3OP(=O)([O-])O[C@H]32)c(=O)[nH]1
34hpp	3-(4-Hydroxyphenyl)pyruvate	O=C([O-])C(=O)Cc1ccc(O)cc1
3ohodcoa	3-Oxooctadecanoyl-CoA	CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3amp	3  AMP C10H12N5O7P	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]1O
3opalmACP	3-Oxohexadecanoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCCCCCCCCCCC
23cump	2',3'-Cyclic UMP	O=c1ccn([C@@H]2O[C@H](CO)[C@H]3OP(=O)([O-])O[C@H]32)c(=O)[nH]1
3ophb	3-Octaprenyl-4-hydroxybenzoate	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(C(=O)[O-])ccc1O
3otdcoa	3-Oxotetradecanoyl-CoA	CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3c2hmp	3-Carboxy-2-hydroxy-4-methylpentanoate	CC(C)[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-]
23dappa	2,3-diaminopropionate	NCC(N)C(=O)O
3pg	3-Phospho-D-glycerate	O=C([O-])[C@H](O)COP(=O)([O-])[O-]
3c3hmp	3-Carboxy-3-hydroxy-4-methylpentanoate	CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-]
3php	3-Phosphohydroxypyruvate	O=C([O-])C(=O)COP(=O)([O-])[O-]
3psme	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C=C(O[C@@H]1CC(C(=O)[O-])=C[C@@H](OP(=O)([O-])[O-])[C@H]1O)C(=O)[O-]
3c4mop	3-Carboxy-4-methyl-2-oxopentanoate	CC(C)[C@H](C(=O)[O-])C(=O)C(=O)[O-]
23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate	O=C(O)C1=CC=CC(O)C1O
3sala	3-Sulfino-L-alanine	[NH3+][C@@H](CS(=O)[O-])C(=O)[O-]
3cmp	3  CMP C9H12N3O8P	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)n1
23dhb	2,3-Dihydroxybenzoate	O=C([O-])c1cccc(O)c1O
23dhba	(2,3-Dihydroxybenzoyl)adenylate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)c2cccc(O)c2O)[C@@H](O)[C@H]1O
3ump	3  UMP C9H11N2O9P	O=c1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1
4abut	4-Aminobutanoate	[NH3+]CCCC(=O)[O-]
23dhbzs	2,3-dihydroxybenzoylserine	O=C(N[C@@H](CO)C(=O)[O-])c1cccc(O)c1O
23dhdp	2,3-Dihydrodipicolinate	O=C([O-])C1=N[C@H](C(=O)[O-])CC=C1
23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate	CC(C)(O)[C@@H](O)C(=O)[O-]
3dhguln	3-Dehydro-L-gulonate	O=C([O-])[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO
23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate	CC[C@@](C)(O)[C@@H](O)C(=O)[O-]
4abutn	4-Aminobutanal	[NH3+]CCCC=O
3dhgulnp	3-keto-L-gulonate-6-phosphate	O=C([O-])[C@@H](O)C(=O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-]
4abz	4-Aminobenzoate	Nc1ccc(C(=O)[O-])cc1
3dhq	3-Dehydroquinate	O=C1C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O
4adcho	4-amino-4-deoxychorismate	C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1[NH3+])C(=O)[O-]
23doguln	2,3-Dioxo-L-gulonate	O=C([O-])C(=O)C(=O)[C@H](O)[C@@H](O)CO
3dhsk	3-Dehydroshikimate	O=C([O-])C1=CC(=O)[C@@H](O)[C@H](O)C1
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	Nc1c(C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
4ahmmp	4-Amino-5-hydroxymethyl-2-methylpyrimidine	Cc1ncc(CO)c(N)n1
4ampm	4-Amino-2-methyl-5-phosphomethylpyrimidine	Cc1ncc(COP(=O)([O-])[O-])c(N)n1
3gmp	Guanosine 3  phosphate C10H12N5O8P	Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1
4c2me	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C[C@](O)(CO)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
4h2opntn	4-Hydroxy-2-oxopentanoate	CC(O)CC(=O)C(=O)O
25dkglcn	2,5-diketo-D-gluconate	O=C([O-])C(=O)[C@@H](O)[C@H](O)C(=O)CO
25drapp	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	Nc1nc(O)c(N)c(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)n1
3haACP	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(C)O
26dap_LL	LL-2,6-Diaminoheptanedioate	[NH3+][C@@H](CCC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
3hbcoa	(S)-3-Hydroxybutanoyl-CoA	C[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
26dap__M	Meso-2,6-Diaminoheptanedioate	[NH3+][C@H](CCC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
3hcddec5eACP	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CC=CCCCCCC
4hba	4-Hydroxy-benzyl alcohol	OCc1ccc(O)cc1
3hcinnm	3-hydroxycinnamic acid	O=C([O-])/C=C/c1cccc(O)c1
4hbz	4-Hydroxybenzoate	O=C([O-])c1ccc(O)cc1
2agpe120	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	CCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[NH3+]
4hoxpacd	4-Hydroxyphenylacetaldehyde	O=CCc1ccc(O)cc1
4hthr	4-Hydroxy-L-threonine	[NH3+][C@H](C(=O)[O-])[C@H](O)CO
4mhetz	4-Methyl-5-(2-hydroxyethyl)-thiazole	Cc1ncsc1CCO
2agpe140	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
3hcpalm9eACP	(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCCCCC=CCCCCCC
4mop	4-Methyl-2-oxopentanoate	CC(C)CC(=O)C(=O)[O-]
3hcvac11eACP	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCCCCCCC=CCCCCCC
4mpetz	4-Methyl-5-(2-phosphoethyl)-thiazole	Cc1ncsc1CCOP(=O)([O-])[O-]
2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	CCCCCCC=CCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[NH3+]
3hdcoa	(S)-3-Hydroxydecanoyl-CoA	CCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
4pasp	4-Phospho-L-aspartate	[NH3+][C@@H](CC(=O)OP(=O)([O-])[O-])C(=O)[O-]
3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	CCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
4per	4-Phospho-D-erythronate	O=C([O-])[C@H](O)[C@H](O)COP(=O)([O-])[O-]
4ppan	D-4'-Phosphopantothenate	CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)[O-]
3hddecACP	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	*OP(=O)([O-])OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCCCCCCCC
4ppcys	N-((R)-4-Phosphopantothenoyl)-L-cysteine	CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(=O)[O-]
4r5au	4-(1-D-Ribitylamino)-5-aminouracil	Nc1c(NC[C@H](O)[C@H](O)[C@H](O)CO)[nH]c(=O)[nH]c1=O
2agpe180	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[NH3+]
3hhcoa	(S)-3-Hydroxyhexanoyl-CoA	CCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
5aizc	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	Nc1c(C(=O)[O-])[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
5aop	5-Amino-4-oxopentanoate	[NH3+]CC(=O)CCC(=O)[O-]
5aprbu	5-Amino-6-(5'-phosphoribitylamino)uracil	Nc1c(NC[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])[nH]c(=O)[nH]c1=O
2agpe181	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[NH3+]
