SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CCC(C)(COC=O)C(C)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,C27H35N6O8P,602.2254,42
CCC(C)(C)C(C)OC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)C(CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)OC=O,False,C27H35N6O8P,602.2254,42
CCC(C)(CCCN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)COC=O,False,C27H35N6O8P,602.2254,42
CCC(C)(C)COC(=O)CN[P@@](=O)(Oc1ccccc1)OC(C)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)C(O[P@@](=O)(NCC(=O)OC)Oc1ccccc1)[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,C27H35N6O8P,602.2254,42
CCC(C)(C)COC(=O)CN[P@](=O)(OC[C@]1(C)O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)[C@@]1(CO[P@@](=O)(NCC(=O)OC)Oc2ccccc2)O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,C27H35N6O8P,602.2254,42
CCC(C)(C)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1C,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)c1ccccc1O[P@](=O)(NCC(=O)OC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,False,C27H35N6O8P,602.2254,42
CCC(C)(C)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@]1(C)O)Oc1ccccc1,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)[C@@]1(O)[C@@H](O)[C@](C#N)(c2ccc3c(N)ncnn23)O[C@@H]1CO[P@@](=O)(NCC(=O)OC)Oc1ccccc1,False,C27H35N6O8P,602.2254,42
CCC(C)(C)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1cccc(C)c1,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)c1cccc(O[P@](=O)(NCC(=O)OC)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O)c1,False,C27H35N6O8P,602.2254,42
CCC(C)(C)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@@](C)(O)[C@@H]1O)Oc1ccccc1,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)[C@]1(O)[C@H](O)[C@@H](CO[P@@](=O)(NCC(=O)OC)Oc2ccccc2)O[C@@]1(C#N)c1ccc2c(N)ncnn12,False,C27H35N6O8P,602.2254,42
CCC(C)(C)COC(=O)CN[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccc(C)cc1,False,C27H35N6O8P,602.2254,42
CCC(C)(CC)c1ccc(O[P@](=O)(NCC(=O)OC)OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O)cc1,False,C27H35N6O8P,602.2254,42
