SMILES,Is_reactant,Is_product,Is_Starter,SourceDirectory
CCC(OC(C)=O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CO[C@H]1[C@@H](O)[C@@](C)(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1COC=O,False,True,False,XanthosineOnly_gen3
C[n+]1cn([C@@]2(C)O[C@H](CO)[C@@H](O)[C@H]2OC=O)c2[nH]c(=O)[nH]c(=O)c21,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@@H](COC=O)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@]1(C)O,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@@H]2O[C@@H](n3cnc4c(=O)[nH]c(=O)[nH]c43)[C@]1(O)OC2O,False,True,False,XanthosineOnly_gen3
CCC(=O)OC(C)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@H](CO)O[C@H]1n1c[n+](C)c2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
COC(C)OC[C@H]1O[C@@H]2[C@H](Oc3nc4c(=O)[nH]c(=O)[nH]c4n32)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](C(C)=O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
O=C(O)CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](O)[C@@H](C=O)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,True,True,False,XanthosineOnly_gen3
CO[C@H]1[C@@H](OP(=O)(O)O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C,False,True,False,XanthosineOnly_gen3
C[C@]1(O)[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@H]1OC=O,True,False,True,XanthosineOnly_gen3
CC(=O)OC[C@H]1O[C@@H](n2c[n+](C)c3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1OC(C)=O,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](O)[C@@H](C=O)O[C@H]1n1c[n+](C)c2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@]1(C)CO,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](O)[C@@H](COS(=O)(=O)O)O[C@H]1n1c[n+](C)c2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CC(=O)OC[C@]1(C)O[C@@H](n2c[n+](C)c3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CCC(=O)OC[C@H]1O[C@@H](n2c[n+](C)c3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CC(=O)OC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CC(C)(O)OC[C@H]1O[C@@]2(n3cnc4c(=O)[nH]c(=O)[nH]c43)O[C@@H]2[C@@H]1O,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](O)[C@@H](COC(C)(O)C#N)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CO[C@H]1[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](COC(C)=O)[C@]1(C)O,False,True,False,XanthosineOnly_gen3
O=c1[nH]c(=O)c2nc3n(c2[nH]1)[C@@H]1O[C@H](C(O)O3)[C@@H](O)[C@H]1O,True,False,True,XanthosineOnly_gen3
N#CC(=O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CCC(=O)O[C@H]1[C@@H](O)[C@H](n2c[n+](C)c3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,True,False,XanthosineOnly_gen3
CC#N,False,True,False,XanthosineOnly_gen3
CCOC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](OC)[C@@H]1O,False,True,False,XanthosineOnly_gen3
COC[C@H]1O[C@@H](n2cnc3c(=O)n(C(C)=O)c(=O)[nH]c32)[C@H](O)[C@@H]1OC(C)=O,False,True,False,XanthosineOnly_gen3
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C,False,True,False,XanthosineOnly_gen3
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC(C)O,False,True,False,XanthosineOnly_gen3
COC(=O)O[C@H]1[C@@H](OC)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,True,False,XanthosineOnly_gen3
CCC(O)O[C@@H]1[C@@H]2OC(O)[C@H]2O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CC(=O)OC(O)[C@H]1O[C@@H]2[C@H](Oc3nc4c(=O)[nH]c(=O)[nH]c4n32)[C@@H]1O,False,True,False,XanthosineOnly_gen3
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4COC(O)CO[C@H]4[C@H]3O)c2[nH]1,True,False,True,XanthosineOnly_gen3
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,True,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](O)[C@@H](COS(=O)(=O)O)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,True,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](OC=O)[C@@H](CO)O[C@]1(C)n1cnc2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CC(C)(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
COCC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,True,False,XanthosineOnly_gen3
CC(=O)O[C@H]1[C@@H](O)[C@H](n2c[n+](C)c3c(=O)[nH]c(=O)[nH]c32)O[C@@]1(C)CO,False,True,False,XanthosineOnly_gen3
CC(=O)OC[C@H]1O[C@@H]2[C@H](Oc3nc4c(=O)[nH]c(=O)[nH]c4n32)[C@@H]1O,False,True,False,XanthosineOnly_gen3
O=CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,True,True,False,XanthosineOnly_gen3
COC1O[C@H]2[C@@H](OC(C)O)[C@H](n3cnc4c(=O)[nH]c(=O)[nH]c43)O[C@H]12,False,True,False,XanthosineOnly_gen3
O=c1[nH]c(=O)c2ncn([C@@]3(CO)OC[C@@H](O)[C@H]3O)c2[nH]1,True,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](O)[C@@H](COC(C)N)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C,True,False,True,XanthosineOnly_gen3
C[n+]1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)(O)O)c2[nH]c(=O)[nH]c(=O)c21,True,True,False,XanthosineOnly_gen3
COC[C@]12O[C@@H](n3cnc4c(=O)[nH]c(=O)[nH]c43)[C@H](O)[C@@H]1O2,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@@H]2OP(=O)(O)OC[C@H]2O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CC(O)(C#N)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CC(O)OC[C@H]1O[C@@H]2[C@H](Oc3nc4c(=O)[nH]c(=O)[nH]c4n32)[C@@H]1O,True,False,True,XanthosineOnly_gen3
CCC(=O)C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](O)[C@@H](COC=O)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CO[C@H]1[C@@H](C(C)=O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](O)[C@@H](C(C)OC(C)=O)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(C)O,True,False,True,XanthosineOnly_gen3
CCOC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)n(C(C)=O)c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
O=CO[C@@H]1CO[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CC(O)O[C@@H]1[C@@H]2O[C@]1(n1cnc3c(=O)[nH]c(=O)[nH]c31)O[C@@H]2CO,True,False,True,XanthosineOnly_gen3
CC(C)(O)OC1O[C@H]2[C@@H](O)[C@H](n3cnc4c(=O)[nH]c(=O)[nH]c43)O[C@H]12,False,True,False,XanthosineOnly_gen3
O=C[C@H]1O[C@@H]2[C@H](O)[C@@H]1Oc1nc3c(=O)[nH]c(=O)[nH]c3n12,False,True,False,XanthosineOnly_gen3
CC(O)(CO)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,True,False,XanthosineOnly_gen3
CO[C@H]1[C@@H](OP(=O)(O)O)[C@H](n2c[n+](C)c3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,True,False,XanthosineOnly_gen3
CC(=O)OC(=O)[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)OC[C@@H](O)[C@H]1O,False,True,False,XanthosineOnly_gen3
CC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@]1(C)OC(C)=O,False,True,False,XanthosineOnly_gen3
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C=O,True,True,False,XanthosineOnly_gen3
Cn1c(=O)[nH]c(=O)c2c1n([C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OS(=O)(=O)O)c[n+]2C,False,True,False,XanthosineOnly_gen3
CCC(=O)OC[C@H]1O[C@](C)(n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
COC[C@]1(C)O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CC(C)(O)OC[C@H]1O[C@@]2(n3cnc4c(=O)[nH]c(=O)[nH]c43)O[C@H]1[C@H]2O,False,True,False,XanthosineOnly_gen3
CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,True,True,False,XanthosineOnly_gen3
CC[n+]1cn([C@@H]2O[C@H](COC=O)[C@@H](O)[C@H]2O)c2[nH]c(=O)[nH]c(=O)c21,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](OC(C)=O)[C@@H](CO)O[C@H]1n1c[n+](C)c2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](CO)[C@@H](O)[C@H]1OC=O,True,False,True,XanthosineOnly_gen3
CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1c[n+](C)c2c(=O)[nH]c(=O)[nH]c21,True,True,False,XanthosineOnly_gen3
CCO,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](O)CO[C@]1(C(=O)O)n1cnc2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CC(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,True,True,False,XanthosineOnly_gen3
CC(=O)O[C@H]1[C@@H](O)[C@@](C)(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,True,False,True,XanthosineOnly_gen3
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4C(O)O[C@]3(O)[C@@H]4O)c2[nH]1,True,False,True,XanthosineOnly_gen3
C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](OP(=O)(O)O)[C@@H]1O,True,False,True,XanthosineOnly_gen3
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1COP(=O)(O)O,False,True,False,XanthosineOnly_gen3
CO[C@H]1[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@](C)(CO)[C@H]1O,False,True,False,XanthosineOnly_gen3
COC[C@]12O[C@@H](n3cnc4c(=O)[nH]c(=O)[nH]c43)[C@H](OC(C)O)[C@@H]1O2,False,True,False,XanthosineOnly_gen3
CC(N)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,True,False,True,XanthosineOnly_gen3
CO[C@H]1[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](CO)[C@]1(C)O,False,True,False,XanthosineOnly_gen3
CC(=O)OC(C)=O,False,True,False,XanthosineOnly_gen3
CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@]12OC2O,False,True,False,XanthosineOnly_gen3
CCC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C,False,True,False,XanthosineOnly_gen3
CO[C@@H]1[C@H](OS(=O)(=O)O)[C@@H](CO)O[C@H]1n1c[n+](C)c2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
CCCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,True,False,XanthosineOnly_gen3
COC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](OC)[C@@H]1O,False,True,False,XanthosineOnly_gen3
CCC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)n(C(C)=O)c32)[C@H](O)[C@@H]1O,False,True,False,XanthosineOnly_gen3
