SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(=O)O[C@H]1[C@@H](O)[C@H](n2c(C)nc3c(=O)[nH]c(=O)[nH]c32)O[C@@]1(C)CO,False,C14H18N4O7,354.1175,25
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@]1(C)O[C@H](CO)[C@@H](OC=O)[C@H]1O,False,C13H16N4O7,340.1019,24
CC(O)O[C@H]1[C@H]2OC[C@]2(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,C13H16N4O7,340.1019,24
CC(O)O[C@H]1[C@@H](O)[C@]2(n3cnc4c(=O)[nH]c(=O)[nH]c43)COC[C@H]1O2,False,C13H16N4O7,340.1019,24
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](CO)[C@H]2OC(O)CO[C@H]21,False,C13H16N4O7,340.1019,24
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]2COCC(O)O[C@H]2[C@H]1O,False,C13H16N4O7,340.1019,24
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](CO)[C@@H](OC(=O)CC(=O)O)[C@H]1O,False,C14H16N4O9,384.0917,27
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](CO)[C@@H](OC(=O)CO)[C@H]1O,False,C13H16N4O8,356.0968,25
COC(=O)O[C@H]1[C@@H](O)[C@@](C)(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,C13H16N4O8,356.0968,25
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](CO)[C@@H](OC(O)CO)[C@H]1O,False,C13H18N4O8,358.1125,25
CC[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](CO)[C@@H](OC(C)=O)[C@H]1O,False,C14H18N4O7,354.1175,25
CC(=O)O[C@H]1[C@@H](O)[C@@](C)(n2c(C)nc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,C14H18N4O7,354.1175,25
CC(=O)O[C@@H]1[C@@H](C(C)O)O[C@](C)(n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@H]1O,False,C14H18N4O7,354.1175,25
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C1CO1,False,C13H16N4O7,340.1019,24
CC(O)O[C@H]1[C@H]2OCC(O)[C@H]1O[C@H]2n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C13H16N4O7,340.1019,24
CC1OCC(O)O[C@H]2[C@@H](O)[C@H](n3cnc4c(=O)[nH]c(=O)[nH]c43)O[C@H]12,False,C13H16N4O7,340.1019,24
CC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@H]2OCC(O)O[C@@H]21,False,C13H16N4O7,340.1019,24
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(C)(C)O,False,C14H18N4O7,354.1175,25
CCC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1OC(C)=O,False,C14H18N4O7,354.1175,25
CC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1OC(=O)CC(=O)O,False,C14H16N4O9,384.0917,27
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(C)(O)C(=O)O,False,C14H16N4O9,384.0917,27
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(O)CC(=O)O,False,C14H16N4O9,384.0917,27
