SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(O)(O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO)C(=O)O,False,C13H14N4O8,354.0812,25
O=C(O)CC(O)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C13H14N4O8,354.0812,25
CC(Cl)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C12H13ClN4O5,328.0574,22
CC(O)(O)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C12H14N4O7,326.0862,23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@]2(OC(O)CO)O[C@@H]12,False,C12H14N4O7,326.0862,23
CC(O)O[C@@]1(O)[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@@H]1O,False,C12H16N4O7,328.1019,23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2CO[C@]2(O)[C@H]1O,False,C10H10N4O5,266.0651,19
CCO[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C12H14N4O5,294.0964,21
CC(O)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2C,False,C12H14N4O5,294.0964,21
CC(O)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2C(=O)O,False,C12H12N4O7,324.0706,23
CC(O)OC(C)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C14H18N4O7,354.1175,25
CC(O)O[C@]12O[C@]1(C)[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C13H16N4O6,324.107,23
CC(O)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@]2(C)CO,False,C13H16N4O6,324.107,23
CC(O)O[C@]12O[C@H]1[C@@](C)(n1cnc3c(=O)[nH]cnc31)O[C@@H]2CO,False,C13H16N4O6,324.107,23
CC(O)O[C@]12O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O[C@@H]2C(C)O,False,C13H16N4O6,324.107,23
Cc1nc2c(=O)[nH]cnc2n1[C@@H]1O[C@H](CO)[C@@]2(OC(C)O)O[C@@H]12,False,C13H16N4O6,324.107,23
Cc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@]3(OC(C)O)O[C@@H]23)c(=O)[nH]1,False,C13H16N4O6,324.107,23
O=CO[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C11H10N4O6,294.06,21
CC(=O)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C12H12N4O6,308.0757,22
COC(C)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C13H16N4O6,324.107,23
CC(C)(O)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C13H16N4O6,324.107,23
CCC(O)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C13H16N4O6,324.107,23
CC(=O)OC(C)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C14H16N4O7,352.1019,25
CC(=O)O[C@H]1[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]2CO[C@]21OC(C)O,False,C14H16N4O7,352.1019,25
CC(O)(O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O)C(=O)O,False,C13H14N4O8,354.0812,25
O=C(O)CC(O)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C13H14N4O8,354.0812,25
CC(Cl)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C12H13ClN4O5,328.0574,22
CC(O)(O)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C12H14N4O7,326.0862,23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2CO[C@@]2(OC(O)CO)[C@H]1O,False,C12H14N4O7,326.0862,23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2CO[C@@]2(O)[C@H]1O,False,C10H10N4O5,266.0651,19
