SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C(=O)O,False,C12H15N5O6,325.1022,23
CCO[C@@H]1[C@H](OCC)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C14H21N5O5,339.1543,24
CCO[C@@]1(C)[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@H]1O,False,C13H19N5O5,325.1386,23
CCO[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@]1(C)O,False,C13H19N5O5,325.1386,23
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@]1(C)CO,False,C13H19N5O5,325.1386,23
CCO[C@H]1[C@@H](O)[C@@](C)(n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H19N5O5,325.1386,23
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1C(C)O,False,C13H19N5O5,325.1386,23
CCO[C@H]1[C@@H](O)[C@H](n2c(C)nc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H19N5O5,325.1386,23
CC[C@]1(OC=O)[C@@H](CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@@H]1O,False,C13H17N5O6,339.1179,24
CC[C@]1(O)[C@H](OC=O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,False,C13H17N5O6,339.1179,24
CC[C@@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1OC=O,False,C13H17N5O6,339.1179,24
CC[C@]1(n2cnc3c(=O)[nH]c(N)nc32)O[C@H](CO)[C@@H](OC=O)[C@H]1O,False,C13H17N5O6,339.1179,24
CCc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](OC=O)[C@H]1O,False,C13H17N5O6,339.1179,24
CCC1(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O1,False,C13H17N5O6,339.1179,24
CCC1=Nc2nc3c(ncn3[C@@H]3O[C@H](CO)[C@@H](O1)[C@H]3O)c(=O)[nH]2,False,C13H15N5O5,321.1073,23
CC1O[C@@H]2[C@H](OC1O)[C@@H](CO)O[C@H]2n1cnc2c(=O)[nH]c(N)nc21,False,C13H17N5O6,339.1179,24
CC1OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2OC1O,False,C13H17N5O6,339.1179,24
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@H]3OC(O)CCO[C@H]32)c(=O)[nH]1,False,C13H17N5O6,339.1179,24
Nc1nc2c(ncn2[C@@H]2O[C@@H]3COCCC(O)O[C@H]3[C@H]2O)c(=O)[nH]1,False,C13H17N5O6,339.1179,24
C=CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H15N5O6,337.1022,24
CC(C)C(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C14H19N5O6,353.1335,25
CCCC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C14H19N5O6,353.1335,25
CCC(=O)O[C@H]1[C@@H](OC(C)=O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C15H19N5O7,381.1284,27
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OC(=O)CCC(=O)O)[C@H]2O)c(=O)[nH]1,False,C14H17N5O8,383.1077,27
CC(C(=O)O)C(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C14H17N5O8,383.1077,27
CCC(O)(C#N)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C14H18N6O6,366.1288,26
CCC(N)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H20N6O5,340.1495,24
CC(O)C(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H17N5O7,355.1128,25
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OC(=O)CCO)[C@H]2O)c(=O)[nH]1,False,C13H17N5O7,355.1128,25
CCOC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,False,C13H17N5O7,355.1128,25
