SMILES,Is_Starter,SourceDirectories
N#CC1C=C(F)C([C@H]2CCc3cncn32)=CC1,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=CCc1c(C#N)ccc([C@H]2CCc3cncn32)c1F,False,starter_00014
N#Cc1cc(F)c([C@H]2CCc3cncn32)c(C(=O)O)c1,False,starter_00014
N#Cc1cc(F)c([C@H]2CCc3cncn32)cc1C(=O)O,False,starter_00014
N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1C(=O)O,False,starter_00014
N#Cc1cc(O)c([C@H]2CCc3cncn32)c(F)c1,False,starter_00014
N#Cc1cc(F)c([C@H]2CCc3cncn32)cc1O,False,starter_00014
N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1O,False,starter_00014
N#CC1=CC=C([C@H]2CCc3cncn32)C(O)(F)C1O,False,starter_00014
N#CC1=CC(O)(F)C(O)([C@H]2CCc3cncn32)C=C1,False,starter_00014
N#CC1=CC(O)C(O)([C@H]2CCc3cncn32)C(F)=C1,False,starter_00014
N#CC1=CC(F)=C([C@H]2CCc3cncn32)C(O)C1O,False,starter_00014
N#CC1(O)C=C(F)C([C@H]2CCc3cncn32)=CC1O,False,starter_00014
N#CC1(O)C=CC([C@H]2CCc3cncn32)=C(F)C1O,False,starter_00014
N#CC1=CC(F)=C([C@H]2CCc3cncn32)C2OC12,False,starter_00014
N#CC12C=C(F)C([C@H]3CCc4cncn43)=CC1O2,False,starter_00014
N#CC12C=CC([C@H]3CCc4cncn43)=C(F)C1O2,False,starter_00014
N#CC1=CC=C([C@H]2CCc3cncn32)C2(F)OC12,False,starter_00014
N#CC1=CC2(F)OC2([C@H]2CCc3cncn32)C=C1,False,starter_00014
N#CC1=CC2OC2([C@H]2CCc3cncn32)C(F)=C1,False,starter_00014
c1ncn2c1CCC2,False,starter_00014
N#Cc1ccc(O)c(F)c1,False,starter_00014
NC(=O)c1ccc([C@H]2CCc3cncn32)c(F)c1,False,starter_00014
O=C(O)c1ccc([C@H]2CCc3cncn32)c(F)c1,False,starter_00014
