DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key,Canonical_SMILES
DB13957,,J147,1146963-51-0,Z41H3C5BT9,"N-(2,4-Dimethylphenyl)-2,2,2-trifluoro-N'-[(E)-(3-methoxyphenyl)methylene]acetohydrazide",HYMZAYGFKNNHDN-SSDVNMTOSA-N,COc1cccc(/C=N/N(C(=O)C(F)(F)F)c2ccc(C)cc2C)c1
DB13958,,Trestolone acetate,6157-87-5,52XDF4N1XL,17beta-Hydroxy-7alpha-methylestr-4-en-3-one acetate | 17β-Hydroxy-7α-methylestr-4-en-3-one acetate | 7α-methyl-19-nortestosterone 17β-acetate | 7α-Methyl-19-nortestosterone acetate | Orgasteron acetate | Trestolone acetate,IVCRCPJOLWECJU-XQVQQVTHSA-N,CC(=O)O[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@H]1CCC(=O)C=C1C[C@H]3C
DB13960,,Bronopol,52-51-7,6PU1E16C9W,"2-Bromo-2-nitropropane-1,3-diol | 2-Nitro-2-bromo-1,3-propanediol | beta-Bromo-beta-nitrotrimethyleneglycol | Bronopol | Bronopolu | Bronopolum",LVDKZNITIUWNER-UHFFFAOYSA-N,O=[N+]([O-])C(Br)(CO)CO
DB13962,,Calcium saccharate,5793-88-4,SST07NLK7J,Calcii saccharas | Calcium D-glucarate | Calcium D-saccharate | Calcium glucarate | Calcium saccharate | Sacarato calcico | Saccharate de calcium | Saccharated lime,UGZVNIRNPPEDHM-SBBOJQDXSA-L,O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-].[Ca+2]
DB13963,,"1,2-dichlorobenzene",95-50-1,6PJ93I88XL,2-Dichlorobenzene | o-dichlorbenzene | o-Dichlorbenzol | o-Dichlorobenzene | ODB | ODCB | ortho-Dichlorobenzene | Orthodichlorobenzene | orthodichlorobenzol,RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl
DB13966,,Isopropyl myristate,110-27-0,0RE8K4LNJS,1-Methylethyl tetradecanoate | Isopropyl myristate | Isopropyl tetradecanoate,AXISYYRBXTVTFY-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC(C)C
DB13967,,Patent Blue,25305-77-5,D4RJJ6R97N,Patent Blue | patent blue violet,DHAHKSQXIXFZJB-UHFFFAOYSA-O,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(O)c(S(=O)(=O)O)cc2S(=O)(=O)O)cc1
DB13969,,Quaternium-24,32426-11-2,0T2NG1539G,"Ammonium, decyldimethyloctyl, chloride | Decyl dimethyl octyl ammonium chloride | Decyloctyldimethylammonium chloride | Octyl decyl dimethyl ammonium chloride",SCXCDVTWABNWLW-UHFFFAOYSA-M,CCCCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-]
DB13970,,Dioctyldimonium,20256-55-7,3535D7RPGW,Dimethyldioctylammonium | Dioctyldimonium | Dioctyldimonium cation | Dioctyldimonium ion,MELGLHXCBHKVJG-UHFFFAOYSA-N,CCCCCCCC[N+](C)(C)CCCCCCCC
DB13971,,Vanadium,7440-62-2,00J9J9XKDE,"vanadio | Vanadium | Vanadium metallicum | Vanadium, elemental",LEONUFNNVUYDNQ-UHFFFAOYSA-N,[V]
DB13972,,Racemethionine,59-51-8,73JWT2K6T3,(+-)-Methionine | DL-Methionine | DL-Methioninum | metionina | Racemethionine,FFEARJCKVFRZRR-UHFFFAOYSA-N,CSCCC(N)C(=O)O
DB13977,,Potassium carbonate,584-08-7,BQN1B9B9HA,"Carbonate of potash | Carbonic acid, dipotassium salt | Dipotassium carbonate | Kaliumcarbonat | Potash, sulfurated | Potassium carbonate | Potassium carbonate, anhydrous",BWHMMNNQKKPAPP-UHFFFAOYSA-L,O=C([O-])[O-].[K+].[K+]
DB13978,,Selisistat,49843-98-3,L19ECD5014,"rac-6-Chloro-2,3,4,9-tetrahydro-1H-carbazole-1-carboxamide | Selisistat",FUZYTVDVLBBXDL-UHFFFAOYSA-N,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21
