SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(O)O[C@@H]1[C@H](O)[C@@H]2O[C@H]1n1cnc3c(N)nc(nc31)OC2C,False,C13H17N5O5,323.123,23
C[C@]1(OCO)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C12H17N5O5,311.123,22
C[C@]1(n2cnc3c(N)ncnc32)O[C@H](CO)[C@@H](O)[C@H]1OCO,False,C12H17N5O5,311.123,22
C[C@]1(O)[C@@H](CO)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]1OCO,False,C12H17N5O5,311.123,22
C[C@@]1(CO)O[C@@H](n2cnc3c(N)ncnc32)[C@H](OCO)[C@@H]1O,False,C12H17N5O5,311.123,22
Cc1nc2c(N)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OCO,False,C12H17N5O5,311.123,22
CC(O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OCO)[C@@H]1O,False,C12H17N5O5,311.123,22
Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3OCO)c2n1,False,C12H17N5O5,311.123,22
COC(C)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H19N5O5,325.1386,23
CC(C)(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H19N5O5,325.1386,23
CCC(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H19N5O5,325.1386,23
CC(=O)OC(C)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C14H19N5O6,353.1335,25
CC(Cl)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C12H16ClN5O4,329.0891,22
CC(O)(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C12H17N5O6,327.1179,23
