SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(O)(O)C#N,False,C3H5NO2,87.032,6
CC(=O)Cl,False,C2H3ClO,77.9872,4
CC(N)=O,False,C2H5NO,59.0371,4
CC#N,False,C2H3N,41.0265,3
CC(N)O,False,C2H7NO,61.0528,4
O=C(O)CO,False,C2H4O3,76.016,5
COC(=O)O,False,C2H4O3,76.016,5
OCC(O)O,False,C2H6O3,78.0317,5
CC(O)(O)CC(=O)O,False,C4H8O4,120.0423,8
CC(=O)CC(=O)O,False,C4H6O3,102.0317,7
CC1(O)CC(O)(O)O1,False,C4H8O4,120.0423,8
CC(=O)OC(C)O,False,C4H8O3,104.0473,7
N#CCC(O)NC1=CC(=O)O/C1=C/C=O,False,C9H8N2O4,208.0484,15
CC(O)NC1=C(C#N)C(=O)O/C1=C/C=O,False,C9H8N2O4,208.0484,15
CC1=C(NC(O)C#N)/C(=C\C=O)OC1=O,False,C9H8N2O4,208.0484,15
CC(O)NC1=CC(=O)O/C1=C(\C#N)C=O,False,C9H8N2O4,208.0484,15
C/C(C=O)=C1\OC(=O)C=C1NC(O)C#N,False,C9H8N2O4,208.0484,15
CC(O)NC1=CC(=O)O/C1=C/C(=O)C#N,False,C9H8N2O4,208.0484,15
CC(=O)/C=C1/OC(=O)C=C1NC(O)C#N,False,C9H8N2O4,208.0484,15
N#CC(=O)NC1=CC(=O)O/C1=C/C=O,False,C8H4N2O4,192.0171,14
N#CC1(NC2=CC(=O)O/C2=C/CO)CO1,False,C9H8N2O4,208.0484,15
CC1(C#N)NC2=C(O1)C(=O)O/C2=C/CO,False,C9H8N2O4,208.0484,15
CC1(C#N)NC2=CC(=O)OC2=C(CO)O1,False,C9H8N2O4,208.0484,15
CC(Cl)(C#N)NC1=CC(=O)O/C1=C/C=O,False,C9H7ClN2O3,226.0145,15
CC(C#N)NC1=CC(=O)O/C1=C/C=O,False,C9H8N2O3,192.0535,14
CC(=O)NC1=CC(=O)O/C1=C(\C#N)CO,False,C9H8N2O4,208.0484,15
CC(=O)NC1=C(C#N)C(=O)O/C1=C/CO,False,C9H8N2O4,208.0484,15
N#CCC(=O)NC1=CC(=O)O/C1=C/CO,False,C9H8N2O4,208.0484,15
CC(O)NC1=CC(=O)O/C1=C1\OC1C#N,False,C9H8N2O4,208.0484,15
CC(O)NC1=C2OC(C#N)C=C1OC2=O,False,C9H8N2O4,208.0484,15
