starter_idx,starter_smiles,status,num_molecules,num_targets,time_seconds,error
56,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1.O,success,42,26,40.35,
57,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)([O-])O[C@H]3[C@H]2O)c(=O)[nH]1,success,117,98,114.45,
58,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H]2O)c(=O)[nH]1,success,57,41,59.04,
59,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,success,176,158,250.56,
60,Cn1c[n+]([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,156,138,295.04,
61,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,success,42,26,60.5,
62,Nc1nc(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,success,363,344,371.32,
63,O=c1[nH]cnc2c1ncn2C1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,success,71,55,85.26,
64,Cn1c[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,224,206,290.52,
65,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,success,300,281,261.02,
66,O=C1NS(=O)(=O)Nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,success,205,186,165.09,
67,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(N)(=O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,103,87,123.02,
68,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)CP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,65,49,76.47,
69,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(O)(O)=S)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,85,69,147.95,
70,Nc1nc2c(nc(Br)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,338,319,347.78,
71,Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1,success,363,344,293.83,
72,C#C[C@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@@H]1O,success,361,342,292.44,
73,[N-]=[N+]=N[C@H]1C[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1CO,success,42,26,25.39,
74,C#C[C@]1(CO)O[C@@H](n2cnc3c(=O)[nH]cnc32)C[C@@H]1O,success,309,290,236.84,
75,CO[C@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@@H]1O,success,487,468,358.18,
76,O=c1[nH]nnc2c1ncn2C1OC(CO)C(O)C1O,success,263,244,276.71,
77,Nc1nc2c(ncn2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1,success,125,106,149.18,
78,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,success,57,41,54.06,
79,O=c1[nH]cnc2c1ncn2[C@@H]1C[C@@H](O)[C@H](CO)O1,success,234,215,229.06,
80,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(O)(O)=S)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,103,87,120.42,
81,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)c(=O)[nH]1,success,361,342,296.09,
82,Cn1c[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2[nH]c(=O)[nH]c(=O)c21,success,307,288,256.33,
83,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,84,68,143.33,
84,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,success,42,26,42.91,
85,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,success,189,171,247.98,
86,Cn1c[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,79,63,88.38,
87,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O,success,235,216,229.41,
88,Nc1nc2c(ncn2C2CC(F)C(CO)O2)c(=O)[nH]1,success,182,163,193.01,
89,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@H](O)[C@H]2O)c(=O)[nH]1,success,134,116,210.73,
90,Cn1c[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,60,44,61.35,
91,CO[C@@H]1[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,success,58,40,80.34,
92,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(O)(O)=S)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,258,239,321.63,
93,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(O)(=S)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,57,41,70.97,
94,Nc1nc(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@H]3O)c2[nH]1,success,42,26,58.33,
95,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[K+].[K+],success,42,26,43.2,
96,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Ca+2],success,42,26,33.49,
97,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.[Ca+2],success,42,26,47.7,
98,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.[K+].[K+],success,42,26,35.75,
99,CC(C)C(=O)Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1,success,2463,2441,3428.68,
100,Cn1c[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,67,51,58.84,
101,O=c1[nH]cnc2c1ncn2C1OC(CO)CC1F,success,134,115,147.14,
102,Cn1c[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,111,95,89.38,
103,Nc1nc2c(nc(Br)n2C2OC(CO)C(O)C2O)c(=O)[nH]1,success,340,321,310.02,
104,CC1(C)OC2C(CO)OC(n3cnc4c(=O)[nH]cnc43)C2O1,failed,154,135,172.41,min() arg is an empty sequence
105,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]cnc21,success,304,285,278.06,
106,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1F,success,234,215,224.24,
107,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](F)[C@H]1O,success,235,216,251.4,
108,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](F)[C@H]2O)c(=O)[nH]1,success,288,269,253.1,
109,Nc1nc2c(ncn2[C@H]2CO[C@@H](CO)C2)c(=O)[nH]1,success,182,163,193.17,
110,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,success,57,41,68.24,
111,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,success,134,115,133.4,
112,CC1(C)O[C@@H]2[C@H](O1)[C@@H](CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,success,154,135,163.84,
113,Cc1cn2c(=O)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3nc2[nH]1,success,270,251,313.99,
114,NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N,success,540,522,697.17,
115,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,success,120,102,194.77,
116,CN(C)c1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1,failed,316,297,326.39,min() arg is an empty sequence
117,Nc1nc2c(ncn2C2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,failed,287,268,260.11,min() arg is an empty sequence
